galaxy,rmse_kms,v_flat_kms,g_bar_max_over_a0,n_points,bulge_fraction,gas_fraction,log_sb_central,mond_fraction,profile_shape,inner_slope
UGC05253,22.1547,218.0,36.6759,73,0.522407749278587,0.047311621763992666,2.8850506563199705,0.2465753424657534,-0.1209677419354351,0.013761467889901945
UGC05414,5.1571,61.4,0.1073,6,0.0,0.4674356798077998,1.5241493675583613,1.0,0.0,0.5097719869698537
UGC05716,5.3499,74.7,0.0645,12,0.0,0.8685551571895562,1.0128793871712898,1.0,0.0,0.2704149933061976
UGC05721,20.1139,79.5,0.5283,23,0.0,0.7115394617637993,2.4899739394710196,1.0,-0.037530266343780164,0.490566037735232
UGC05750,13.2625,78.9,0.0382,11,0.0,0.535837002352662,1.323272731248478,1.0,0.0,0.4169835234468732
UGC05764,9.7581,49.9,0.0501,10,0.0,0.8664461617286218,1.058084224750925,1.0,-0.10573476702490009,0.539078156311545
UGC05829,6.2331,68.6,0.0572,11,0.0,0.8394971811201889,1.1300441422876044,1.0,0.0,0.3498542274047378
UGC05918,3.5993,44.5,0.0269,8,0.0,0.5817043239395986,0.9675947726718896,1.0,0.0,0.4382022471900265
UGC05986,20.5932,107.0,0.2378,15,0.0,0.31093366896658337,2.0862565844689738,1.0,-0.07758620689648484,0.5121495327098017
UGC05999,8.9728,100.0,0.0713,5,0.0,0.797092854540544,0.7672300981107183,1.0,0.0,0.514999999999485
UGC06399,6.998,87.6,0.0869,9,0.0,0.3971127825775691,1.5789942924459242,1.0,0.0,0.5114155251135715
UGC06446,11.3405,80.1,0.1052,17,0.0,0.7991872953698438,1.5276427877567538,1.0,-0.05653710247343177,0.40699126092333704
UGC06614,14.1046,204.0,3.6363,13,0.45399256545852157,0.22679898445703223,1.7444572796833042,0.9230769230769231,-0.004878048780485426,-0.11764705882347175
UGC06628,29.6021,42.3,0.1051,7,0.0,0.4240043354981344,1.5193159855909568,1.0,0.0,0.3427895981079367
UGC06667,18.5252,85.7,0.0359,9,0.0,0.7004172532227199,0.9390697499234242,1.0,0.0,0.4982497082841327
UGC06786,45.5979,211.0,19.9705,45,0.28175502545166425,0.08649898373942463,2.703189027359343,0.4666666666666667,-0.07860262008730193,0.09478672985777499
UGC06787,42.2215,255.0,60.6618,71,0.5245508452735583,0.0633728090365343,2.7793590793934455,0.38028169014084506,-0.07608695652171156,0.5411764705880231
UGC06818,11.2666,74.4,0.1189,8,0.0,0.388255698558652,1.5612326066603395,1.0,0.0,0.3252688172038639
UGC06917,9.3195,111.0,0.2435,11,0.0,0.3704715517765409,1.7738668624394185,1.0,0.0,0.3090090090087306
UGC06923,5.0871,81.1,0.394,6,0.0,0.3847764628008709,1.7118156618618805,1.0,0.0,0.46732429099819084
UGC06930,8.0588,108.0,0.2131,10,0.0,0.5259747301402352,1.6110963673317424,1.0,-0.009174311926597088,0.4074074074070302
UGC06973,37.1815,180.0,10.3828,9,0.16156380661696973,0.05464329667015556,2.558049430615375,0.4444444444444444,0.0,0.0
UGC06983,12.6847,109.0,0.2547,17,0.0,0.6297122381051369,1.6704406850941393,1.0,-0.035398230088464246,0.3357798165134534
UGC07089,10.9836,79.1,0.107,12,0.0,0.36925292082694333,1.7512097961423723,1.0,0.0,0.38305941845716435
UGC07125,27.2453,64.9,0.0887,13,0.0,0.7716306701011387,1.307089365048616,1.0,-0.010670731707300634,0.4067796610163223
UGC07151,4.3719,76.2,0.1973,11,0.0,0.38470940340404713,2.0050560426927757,1.0,0.0,0.5209973753274003
UGC07261,5.6413,76.1,0.1866,7,0.0,0.506698581247125,1.6670885530709345,1.0,0.0,0.29960578186557213
UGC07323,4.8369,85.6,0.1427,10,0.0,0.2785653146343541,1.9845768155929504,1.0,0.0,0.3200934579435513
UGC07399,30.8452,106.0,0.2272,10,0.0,0.5458234355740459,1.595397006170128,1.0,0.0,0.39433962264113737
UGC07524,5.4104,79.0,0.091,31,0.0,0.5759215053286341,1.633983243813783,1.0,-0.057279236276781255,0.234177215189577
UGC07559,8.9715,32.1,0.0543,7,0.0,0.6625285031185415,1.2294514541517632,1.0,0.0,0.5230529594999281
